LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 110.0, 39266.0, 1778700, 257.0, 39476.0, 451584, 511.0, 39651.0, 774400, -1731.0, 36654.0, 215312, -957.0, -1.0, 9408, 1404.0, 39840.0, 774655,
1, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 559872, -1840.0, 28284.0, 838112, -1584.0, 29395.0, 442368, 1404.0, 29906.0, 560127,
2, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 559872, -1840.0, 28284.0, 838112, -1584.0, 29395.0, 442368, 1404.0, 29906.0, 560127,
3, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 559872, -1840.0, 28284.0, 838112, -1584.0, 29395.0, 442368, 1404.0, 29906.0, 560127,
4, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 559872, -1840.0, 28284.0, 838112, -1584.0, 29395.0, 442368, 1404.0, 29906.0, 560127,
5, 1.0, 9196.0, 451584, 257.0, 10281.0, 294912, 511.0, 10487.0, 301056, -1840.0, 7359.0, 438176, -1584.0, 10250.0, 294912, 718.0, 10751.0, 301311,
6, 1.0, 12772.0, 778752, 257.0, 13027.0, 442368, 511.0, 13317.0, 432640, -1840.0, 12736.0, 778752, -1584.0, 12989.0, 442368, 718.0, 13443.0, 432895,
7, 193.0, 2938.0, 53824, 257.0, 3129.0, 32768, 511.0, 3392.0, 107648, -1648.0, 2001.0, 50176, -847.0, -1.0, 8192, 718.0, 3636.0, 107903,
8, 1.0, 12772.0, 778752, 257.0, 13027.0, 442368, 511.0, 13317.0, 432640, -1840.0, 12736.0, 778752, -1584.0, 12989.0, 442368, 718.0, 13443.0, 432895,
9, 1.0, 12772.0, 778752, 257.0, 13027.0, 442368, 511.0, 13317.0, 432640, -1840.0, 12736.0, 778752, -1584.0, 12989.0, 442368, 718.0, 13443.0, 432895,
10, 1.0, 4344.0, 225792, 257.0, 4727.0, 294912, 511.0, 5049.0, 250880, -1840.0, 4269.0, 215168, -1584.0, 4696.0, 294912, 702.0, 5153.0, 251135,
11, 1.0, 8432.0, 331776, 257.0, 8943.0, 589824, 511.0, 9085.0, 331776, -1840.0, 8428.0, 331776, -1584.0, 8899.0, 589824, 710.0, 9269.0, 332031,
12, 129.0, 256.0, 28800, 257.0, 639.0, 32768, 511.0, 990.0, 57600, -1712.0, 222.0, 25088, -1584.0, 464.0, 32768, 702.0, 1030.0, 57855,
13, 1.0, 8432.0, 331776, 257.0, 8943.0, 589824, 511.0, 9085.0, 331776, -1840.0, 8428.0, 331776, -1584.0, 8899.0, 589824, 710.0, 9269.0, 332031,
14, 1.0, 8432.0, 331776, 257.0, 8943.0, 589824, 511.0, 9085.0, 331776, -1840.0, 8428.0, 331776, -1584.0, 8899.0, 589824, 710.0, 9269.0, 332031,
15, 1.0, 10480.0, 112896, 257.0, 11247.0, 1179648, 511.0, 11294.0, 225792, -1840.0, 9174.0, 102400, -1584.0, 11184.0, 1179648, 911.0, 11519.0, 226047,
16, 1.0, 21982.0, 115200, 257.0, 22749.0, 2359296, 511.0, 22772.0, 230400, -1840.0, 15452.0, 54140, -1584.0, 22659.0, 2359296, 2026.0, 23039.0, 230655,
17, 1.0, 256.0, 16384, 257.0, 1023.0, 131072, 511.0, 1085.0, 32768, -1288.0, -1.0, 12544, -1584.0, 957.0, 131072, 830.0, 1333.0, 33023,
18, 1.0, 21982.0, 115200, 257.0, 22749.0, 2359296, 511.0, 22772.0, 230400, -1840.0, 15452.0, 54140, -1584.0, 22659.0, 2359296, 2026.0, 23039.0, 230655,
19, 1.0, 21982.0, 115200, 257.0, 22749.0, 2359296, 511.0, 22772.0, 230400, -1840.0, 15452.0, 54140, -1584.0, 22659.0, 2359296, 2026.0, 23039.0, 230655,
20, 1.0, 2022.0, 512, 257.0, 3277.0, 512000, 511.0, 3276.0, 2000, -74.0, -1.0, 512, -1584.0, 3104.0, 512000, 3531.0, 3538.0, 2000,
