LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 299409, 0, 37.129394907968695, 91.66288753298153, 31.039284667253003,
1, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080746,
2, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080746,
3, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080746,
4, 261647, 0, 40.12123204164389, 99.04891304347827, 33.54037267080746,
5, 99899, 0, 56.50507012082203, 98.0, 49.58102766798419,
6, 175823, 0, 55.36477025190106, 96.02272727272727, 48.58066834351419,
7, 11987, 0, 56.12747142737966, 97.33796296296296, 49.24608402869272,
8, 175823, 0, 55.36477025190106, 96.02272727272727, 48.58066834351419,
9, 175823, 0, 55.36477025190106, 96.02272727272727, 48.58066834351419,
10, 88199, 0, 64.00072563180989, 87.5, 58.79265091863517,
11, 125999, 0, 65.82909388169747, 90.0, 60.47244094488189,
12, 11199, 0, 64.29145459416019, 87.890625, 59.055118110236215,
13, 125999, 0, 65.82909388169747, 90.0, 60.47244094488189,
14, 125999, 0, 65.82909388169747, 90.0, 60.47244094488189,
15, 87263, 0, 64.68720992860662, 76.5625, 61.53846153846154,
16, 87263, 0, 66.00735707000676, 78.125, 62.79434850863422,
17, 9695, 0, 84.49716348633316, 100.0, 80.3767660910518,
18, 87263, 0, 66.00735707000676, 78.125, 62.79434850863422,
19, 87263, 0, 66.00735707000676, 78.125, 62.79434850863422,
20, 17503, 0, 2.856653145175113, 3.125, 2.7777777777777777,
