LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 36651.0, 1778700, 1.0, 24644.0, 9408, 127.0, 36869.0, 2323200, -1776.0, 34508.0, 381042, -957.0, -1.0, 9408, 446.0, 36881.0, 2323263,
1, 65.0, 27891.0, 1679616, 1.0, 24912.0, 36864, 127.0, 27953.0, 1679616, -1776.0, 27778.0, 1679616, -1840.0, 24911.0, 36864, 446.0, 27989.0, 1679679,
2, 65.0, 27891.0, 1679616, 1.0, 24912.0, 36864, 127.0, 27953.0, 1679616, -1776.0, 27778.0, 1679616, -1840.0, 24911.0, 36864, 446.0, 27989.0, 1679679,
3, 65.0, 27891.0, 1679616, 1.0, 24912.0, 36864, 127.0, 27953.0, 1679616, -1776.0, 27778.0, 1679616, -1840.0, 24911.0, 36864, 446.0, 27989.0, 1679679,
4, 65.0, 27891.0, 1679616, 1.0, 24912.0, 36864, 127.0, 27953.0, 1679616, -1776.0, 27778.0, 1679616, -1840.0, 24911.0, 36864, 446.0, 27989.0, 1679679,
5, 65.0, 17440.0, 903168, 1.0, 16622.0, 73728, 127.0, 17531.0, 903168, -1776.0, 17134.0, 881792, -1840.0, 16620.0, 73728, 446.0, 17819.0, 903231,
6, 65.0, 31113.0, 1557504, 1.0, 30374.0, 147456, 127.0, 31175.0, 1557504, -1776.0, 30896.0, 1557504, -1840.0, 30370.0, 147456, 446.0, 31319.0, 1557567,
7, 65.0, 1969.0, 107648, 1.0, 1095.0, 8192, 127.0, 2061.0, 107648, -1776.0, 1803.0, 100352, -847.0, -1.0, 8192, 446.0, 2303.0, 107711,
8, 65.0, 31113.0, 1557504, 1.0, 30374.0, 147456, 127.0, 31175.0, 1557504, -1776.0, 30896.0, 1557504, -1840.0, 30370.0, 147456, 446.0, 31319.0, 1557567,
9, 65.0, 31113.0, 1557504, 1.0, 30374.0, 147456, 127.0, 31175.0, 1557504, -1776.0, 30896.0, 1557504, -1840.0, 30370.0, 147456, 446.0, 31319.0, 1557567,
10, 65.0, 27714.0, 903168, 1.0, 27470.0, 294912, 127.0, 27791.0, 903168, -1776.0, 27239.0, 860672, -1840.0, 27462.0, 294912, 636.0, 28079.0, 903231,
11, 65.0, 48033.0, 1327104, 1.0, 47826.0, 589824, 127.0, 48095.0, 1327104, -1776.0, 47966.0, 1327104, -1840.0, 47810.0, 589824, 795.0, 48383.0, 1327167,
12, 65.0, 3241.0, 115200, 1.0, 2969.0, 32768, 127.0, 3319.0, 115200, -1776.0, 3071.0, 100352, -1840.0, 1692.0, 32768, 636.0, 3391.0, 115263,
13, 65.0, 48033.0, 1327104, 1.0, 47826.0, 589824, 127.0, 48095.0, 1327104, -1776.0, 47966.0, 1327104, -1840.0, 47810.0, 589824, 795.0, 48383.0, 1327167,
14, 65.0, 48033.0, 1327104, 1.0, 47826.0, 589824, 127.0, 48095.0, 1327104, -1776.0, 47966.0, 1327104, -1840.0, 47810.0, 589824, 795.0, 48383.0, 1327167,
15, 65.0, 68761.0, 903168, 1.0, 68657.0, 1179648, 127.0, 68831.0, 903168, -1776.0, 67758.0, 764800, -1840.0, 68625.0, 1179648, 1406.0, 69119.0, 903231,
16, 65.0, 123777.0, 921600, 1.0, 123689.0, 2359296, 127.0, 123839.0, 921600, -1776.0, 119039.0, 440485, -1840.0, 123474.0, 2359296, 2537.0, 124127.0, 921663,
17, 65.0, 8056.0, 131072, 1.0, 7938.0, 131072, 127.0, 8127.0, 131072, -1288.0, -1.0, 12544, -1840.0, 7903.0, 131072, 1206.0, 8159.0, 131135,
18, 65.0, 123777.0, 921600, 1.0, 123689.0, 2359296, 127.0, 123839.0, 921600, -1776.0, 119039.0, 440485, -1840.0, 123474.0, 2359296, 2537.0, 124127.0, 921663,
19, 65.0, 123777.0, 921600, 1.0, 123689.0, 2359296, 127.0, 123839.0, 921600, -1776.0, 119039.0, 440485, -1840.0, 123474.0, 2359296, 2537.0, 124127.0, 921663,
20, 65.0, 24385.0, 8192, 1.0, 24321.0, 512000, 127.0, 24423.0, 8000, -74.0, -1.0, 512, -1840.0, 23306.0, 512000, 24447.0, 24571.0, 8000,
