LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 121785.0, 3557400, 1.0, 109778.0, 9408, 63.0, 121939.0, 3872000, -3653.0, 121713.0, 1327026, -959.0, -1.0, 9408, 1230.0, 121979.0, 3872031,
1, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -3653.0, 108130.0, 3359232, -3685.0, 105382.0, 36864, 1230.0, 108503.0, 3359263,
2, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -3653.0, 108130.0, 3359232, -3685.0, 105382.0, 36864, 1230.0, 108503.0, 3359263,
3, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -3653.0, 108130.0, 3359232, -3685.0, 105382.0, 36864, 1230.0, 108503.0, 3359263,
4, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -3653.0, 108130.0, 3359232, -3685.0, 105382.0, 36864, 1230.0, 108503.0, 3359263,
5, 33.0, 63156.0, 1806336, 1.0, 62370.0, 73728, 63.0, 63215.0, 1806336, -3653.0, 61994.0, 1763584, -3685.0, 62370.0, 73728, 1324.0, 64367.0, 1806367,
6, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -3653.0, 110221.0, 3115008, -3685.0, 110141.0, 147456, 1324.0, 111455.0, 3115039,
7, 33.0, 7419.0, 215296, 1.0, 6577.0, 8192, 63.0, 7479.0, 215296, -3653.0, 6872.0, 200704, -885.0, -1.0, 8192, 1324.0, 8447.0, 215327,
8, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -3653.0, 110221.0, 3115008, -3685.0, 110141.0, 147456, 1324.0, 111455.0, 3115039,
9, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -3653.0, 110221.0, 3115008, -3685.0, 110141.0, 147456, 1324.0, 111455.0, 3115039,
10, 33.0, 83474.0, 1806336, 1.0, 83262.0, 294912, 63.0, 83519.0, 1806336, -3653.0, 83347.0, 1624754, -3685.0, 83259.0, 294912, 1700.0, 84671.0, 1806367,
11, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -3653.0, 137047.0, 2653263, -3685.0, 136875.0, 589824, 1967.0, 138239.0, 2654239,
12, 33.0, 10161.0, 230400, 1.0, 9921.0, 32768, 63.0, 10207.0, 230400, -2580.0, -1.0, 25088, -3317.0, -1.0, 32768, 1700.0, 10495.0, 230431,
13, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -3653.0, 137047.0, 2653263, -3685.0, 136875.0, 589824, 1967.0, 138239.0, 2654239,
14, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -3653.0, 137047.0, 2653263, -3685.0, 136875.0, 589824, 1967.0, 138239.0, 2654239,
15, 33.0, 164697.0, 1806336, 1.0, 164625.0, 1179648, 63.0, 164735.0, 1806336, -3653.0, 162772.0, 1196464, -3685.0, 164611.0, 1179648, 3392.0, 165887.0, 1806367,
16, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2580.0, -1.0, 25088, -3685.0, 274061.0, 2359296, 5547.0, 275327.0, 1843231,
17, 33.0, 20184.0, 262144, 1.0, 20098.0, 131072, 63.0, 20223.0, 262144, -1327.0, -1.0, 12544, -3685.0, 16937.0, 131072, 2907.0, 20351.0, 262175,
18, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2580.0, -1.0, 25088, -3685.0, 274061.0, 2359296, 5547.0, 275327.0, 1843231,
19, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2580.0, -1.0, 25088, -3685.0, 274061.0, 2359296, 5547.0, 275327.0, 1843231,
20, 33.0, 48609.0, 16384, 1.0, 48577.0, 512000, 63.0, 48615.0, 16000, -74.0, -1.0, 512, -3685.0, 44392.0, 512000, 48639.0, 49138.0, 16000,
