LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 250513.0, 753003, 10.0, 12.0, 3, 23.0, 251023.0, 251001, -1828.0, 245837.0, 750000, -37.0, -1.0, 3, 18455.0, 251983.0, 251012,
1, 13.0, 188833.0, 567009, 10.0, 126082.0, 96, 23.0, 189100.0, 2016032, -1828.0, 185319.0, 562500, -37.0, -1.0, 96, 1564.0, 189683.0, 2016043,
2, 13.0, 1476901.0, 17713152, 1.0, 1415386.0, 288, 23.0, 1476900.0, 1476096, -1828.0, 1475867.0, 17713152, -37.0, -1.0, 288, 18455.0, 1477039.0, 1476107,
3, 13.0, 8861461.0, 106278912, 1.0, 8799946.0, 18432, 23.0, 8861463.0, 94470144, -1828.0, 8861413.0, 106278912, -1840.0, 8799938.0, 18432, 1564.0, 8861983.0, 94470155,
4, 13.0, 4509655.0, 54000000, 1.0, 4494145.0, 36864, 23.0, 4509783.0, 48000000, -1828.0, 4509417.0, 53712384, -1840.0, 4478482.0, 36864, 1564.0, 4510047.0, 48000011,
5, 13.0, 8006053.0, 95857344, 1.0, 7990913.0, 73728, 23.0, 8006059.0, 92952576, -1828.0, 8005069.0, 95857344, -1840.0, 7975746.0, 73728, 1564.0, 8007599.0, 92952587,
6, 13.0, 1455637.0, 17428608, 1.0, 1440497.0, 1152, 23.0, 1455636.0, 1452384, -1828.0, 1455315.0, 17428608, -148.0, -1.0, 1152, 18489.0, 1456871.0, 1452395,
7, 13.0, 1894724.0, 22000000, 1.0, 1879092.0, 16384, 23.0, 1894734.0, 22000000, -1828.0, 1893221.0, 22000000, -1656.0, -1.0, 16384, 1564.0, 1895624.0, 22000011,
8, 13.0, 372277.0, 4428288, 1.0, 368422.0, 1152, 23.0, 372276.0, 369024, -1828.0, 371248.0, 4428288, -148.0, -1.0, 1152, 18591.0, 372319.0, 369035,
9, 13.0, 8190325.0, 97422336, 1.0, 8186470.0, 294912, 23.0, 8190327.0, 94470144, -1828.0, 8189259.0, 97422336, -1840.0, 8147682.0, 294912, 1564.0, 8190847.0, 94470155,
10, 13.0, 744565.0, 8856576, 1.0, 740710.0, 2304, 23.0, 744564.0, 738048, -1828.0, 744045.0, 8856576, -258.0, -1.0, 2304, 18591.0, 744639.0, 738059,
11, 13.0, 744565.0, 8856576, 1.0, 740710.0, 2304, 23.0, 744564.0, 738048, -1828.0, 744045.0, 8856576, -258.0, -1.0, 2304, 18591.0, 744639.0, 738059,
12, 13.0, 24653.0, 278784, 1.0, 23595.0, 256, 23.0, 24694.0, 23958, -1828.0, 23495.0, 262144, -37.0, -1.0, 256, 18999.0, 25166.0, 23969,
13, 13.0, 1000849.0, 11272192, 1.0, 999822.0, 131072, 23.0, 1000863.0, 11534336, -1828.0, 999186.0, 11272192, -1840.0, 974428.0, 131072, 1598.0, 1002062.0, 11534347,
14, 13.0, 45479.0, 524288, 1.0, 44448.0, 512, 23.0, 45482.0, 44032, -1828.0, 44345.0, 524288, -74.0, -1.0, 512, 19067.0, 46091.0, 44043,
15, 13.0, 358645.0, 4147200, 1.0, 357734.0, 4608, 23.0, 358644.0, 345600, -1828.0, 358040.0, 4147200, -479.0, -1.0, 4608, 19135.0, 359807.0, 345611,
16, 13.0, 1956227.0, 22544384, 1.0, 1955196.0, 262144, 23.0, 1956237.0, 22544384, -1828.0, 1955676.0, 22544384, -1840.0, 1906523.0, 262144, 1598.0, 1956412.0, 22544395,
17, 13.0, 45479.0, 524288, 1.0, 44448.0, 512, 23.0, 45482.0, 44032, -1828.0, 44345.0, 524288, -74.0, -1.0, 512, 19067.0, 46091.0, 44043,
18, 13.0, 45479.0, 524288, 1.0, 44448.0, 512, 23.0, 45482.0, 44032, -1828.0, 44345.0, 524288, -74.0, -1.0, 512, 19067.0, 46091.0, 44043,
19, 13.0, 1956227.0, 22544384, 1.0, 1955196.0, 262144, 23.0, 1956237.0, 22544384, -1828.0, 1955676.0, 22544384, -1840.0, 1906523.0, 262144, 1598.0, 1956412.0, 22544395,
20, 13.0, 358645.0, 4147200, 1.0, 357734.0, 4608, 23.0, 358644.0, 345600, -1828.0, 358040.0, 4147200, -479.0, -1.0, 4608, 19135.0, 359807.0, 345611,
21, 13.0, 45479.0, 524288, 1.0, 44448.0, 512, 23.0, 45482.0, 44032, -1828.0, 44345.0, 524288, -74.0, -1.0, 512, 19067.0, 46091.0, 44043,
