LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 752426, 0, 0.0015270490307923554, 1.1712450499928326, 0.001146032338544846,
1, 197105, 0, 0.04682104517579463, 1.167593890356149, 0.03548243541443188,
2, 369693, 0, 0.07310964773474207, 56.07494813278008, 0.05486785531583178,
3, 400059, 0, 4.323862230321027, 56.07494813278008, 3.307646710136337,
4, 154379, 0, 5.693172322660465, 73.83285030241935, 4.3551174371934005,
5, 160919, 0, 10.576827472206514, 73.8720703125, 8.22943864229765,
6, 230099, 0, 0.11557610121078318, 88.646484375, 0.08673824302837571,
7, 55427, 0, 7.047558049326141, 49.221900201612904, 5.483379656924674,
8, 61359, 0, 0.11012290373050408, 84.462890625, 0.08264470706947162,
9, 81759, 0, 21.157303783069754, 84.462890625, 16.932263116679717,
10, 110447, 0, 0.12235789564225374, 93.84765625, 0.09182745229941291,
11, 110447, 0, 0.12235789564225374, 93.84765625, 0.09182745229941291,
12, 3834, 0, 0.11095217136150234, 85.078125, 0.0832466976516634,
13, 5111, 0, 40.07043631383291, 100.0, 33.39856490541422,
14, 6135, 0, 0.13039934800325997, 100.0, 0.09784735812133072,
15, 55223, 0, 0.11459219890263116, 87.890625, 0.08599865459882583,
16, 10223, 0, 40.06651667807884, 100.0, 33.39856490541422,
17, 6135, 0, 0.13039934800325997, 100.0, 0.09784735812133072,
18, 6135, 0, 0.13039934800325997, 100.0, 0.09784735812133072,
19, 10223, 0, 40.06651667807884, 100.0, 33.39856490541422,
20, 55223, 0, 0.11459219890263116, 87.890625, 0.08599865459882583,
21, 6135, 0, 0.13039934800325997, 100.0, 0.09784735812133072,
22, 55223, 0, 0.11459219890263116, 87.890625, 0.08599865459882583,
23, 10223, 0, 40.06651667807884, 100.0, 33.39856490541422,
24, 13805, 0, 0.13038754074610648, 100.0, 0.09784735812133072,
25, 3579, 0, 57.222687901648506, 100.0, 50.07334963325183,
26, 27611, 0, 0.03259570461048133, 25.0, 0.02446183953033268,
27, 27611, 0, 0.09982434536959907, 76.5625, 0.07491438356164383,
28, 27611, 0, 0.008148926152620332, 6.25, 0.00611545988258317,
x
