LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 254.0, 750382.0, 753003, 257.0, 751919.0, 2943, 511.0, 752291.0, 251001, -1587.0, 736574.0, 750000, -37.0, -1.0, 3, 55735.0, 752471.0, 251256,
1, 254.0, 195766.0, 189003, 257.0, 196598.0, 23712, 511.0, 196874.0, 2016032, -1587.0, 191775.0, 187500, -37.0, -1.0, 96, 2186.0, 197133.0, 2016287,
2, 1.0, 369183.0, 17713152, 257.0, 369215.0, 69408, 511.0, 369501.0, 123008, -1840.0, 368191.0, 8838336, -37.0, -1.0, 288, 55735.0, 369742.0, 123263,
3, 1.0, 399486.0, 17713152, 257.0, 399581.0, 4442112, 511.0, 399867.0, 7872512, -1840.0, 398431.0, 8838336, -1584.0, 398855.0, 4442112, 1404.0, 400067.0, 7872767,
4, 1.0, 152976.0, 9000000, 257.0, 153933.0, 2285568, 511.0, 154132.0, 3000000, -1840.0, 151271.0, 8950626, -1584.0, 153822.0, 2285568, 1404.0, 154434.0, 3000255,
5, 1.0, 160282.0, 8714304, 257.0, 160473.0, 4423680, 511.0, 160688.0, 5809536, -1840.0, 157551.0, 5424588, -1584.0, 160314.0, 4423680, 718.0, 160933.0, 5809791,
6, 1.0, 229589.0, 17428608, 257.0, 229717.0, 69120, 511.0, 229868.0, 75645, -1840.0, 228653.0, 17409856, -148.0, -1.0, 1152, 55735.0, 230107.0, 75900,
7, 129.0, 54790.0, 2000000, 257.0, 55045.0, 1015808, 511.0, 55180.0, 2000000, -1712.0, 53851.0, 2000000, -1656.0, -1.0, 16384, 718.0, 55464.0, 2000255,
8, 1.0, 60849.0, 4428288, 257.0, 60977.0, 18432, 511.0, 61107.0, 19220, -1840.0, 56984.0, 4426956, -148.0, -1.0, 1152, 55735.0, 61363.0, 19475,
9, 1.0, 80994.0, 4428288, 257.0, 81377.0, 4718592, 511.0, 81507.0, 4920320, -1840.0, 75854.0, 4425564, -1584.0, 81250.0, 4718592, 702.0, 81827.0, 4920575,
10, 1.0, 109937.0, 8856576, 257.0, 110193.0, 36864, 511.0, 110195.0, 34596, -1840.0, 108319.0, 8851764, -258.0, -1.0, 2304, 55735.0, 110511.0, 34851,
11, 1.0, 109937.0, 8856576, 257.0, 110193.0, 36864, 511.0, 110195.0, 34596, -1840.0, 108319.0, 8851764, -258.0, -1.0, 2304, 55735.0, 110511.0, 34851,
12, 1.0, 3324.0, 278784, 257.0, 3580.0, 1280, 511.0, 3643.0, 1089, -1840.0, 3178.0, 262144, -37.0, -1.0, 256, 3834.0, 3838.0, 1089,
13, 1.0, 4090.0, 262144, 257.0, 4857.0, 524288, 511.0, 5111.0, 524288, -1840.0, 4073.0, 262144, -1584.0, 4723.0, 524288, 702.0, 5143.0, 524543,
14, 1.0, 5625.0, 524288, 257.0, 5881.0, 2048, 511.0, 6135.0, 2048, -1840.0, 5590.0, 524288, -74.0, -1.0, 512, 6135.0, 6142.0, 2048,
15, 1.0, 54713.0, 4147200, 257.0, 54969.0, 18432, 511.0, 55099.0, 16200, -1840.0, 54659.0, 4147200, -479.0, -1.0, 4608, 55223.0, 55286.0, 16200,
16, 1.0, 9202.0, 524288, 257.0, 9969.0, 1048576, 511.0, 10223.0, 1048576, -1840.0, 9167.0, 524288, -1584.0, 9779.0, 1048576, 702.0, 10287.0, 1048831,
17, 1.0, 5625.0, 524288, 257.0, 5881.0, 2048, 511.0, 6135.0, 2048, -1840.0, 5590.0, 524288, -74.0, -1.0, 512, 6135.0, 6142.0, 2048,
18, 1.0, 5625.0, 524288, 257.0, 5881.0, 2048, 511.0, 6135.0, 2048, -1840.0, 5590.0, 524288, -74.0, -1.0, 512, 6135.0, 6142.0, 2048,
19, 1.0, 9202.0, 524288, 257.0, 9969.0, 1048576, 511.0, 10223.0, 1048576, -1840.0, 9167.0, 524288, -1584.0, 9779.0, 1048576, 702.0, 10287.0, 1048831,
