LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 501847.0, 753003, 1.0, 502743.0, 2943, 2.0, 502997.0, 753273, -1840.0, 492545.0, 750000, -37.0, -1.0, 3, 36938.0, 503297.0, 251256,
1, 1.0, 125716.0, 189003, 1.0, 126232.0, 23712, 2.0, 126486.0, 2142496, -1840.0, 123260.0, 187500, -37.0, -1.0, 96, 1107.0, 126738.0, 2016287,
2, 1.0, 191871.0, 17713152, 1.0, 191808.0, 69408, 287.0, 192062.0, 184896, -1840.0, 191564.0, 6188692, -37.0, -1.0, 288, 57743.0, 192342.0, 61759,
3, 1.0, 191871.0, 17713152, 1.0, 191871.0, 4442112, 287.0, 192125.0, 4059648, -1840.0, 191564.0, 6188692, -1840.0, 191719.0, 4442112, 1148.0, 192357.0, 3936511,
4, 1.0, 66637.0, 9000000, 1.0, 66885.0, 2285568, 575.0, 67139.0, 1031744, -1840.0, 65725.0, 8386818, -1840.0, 66792.0, 2285568, 1724.0, 67350.0, 1000255,
5, 1.0, 64674.0, 8714304, 1.0, 64777.0, 4423680, 575.0, 65031.0, 1967232, -1840.0, 63601.0, 2186521, -1840.0, 64654.0, 4423680, 782.0, 65164.0, 1936767,
6, 1.0, 99234.0, 17428608, 1.0, 99210.0, 69120, 1151.0, 99464.0, 45849, -1840.0, 98097.0, 15208729, -148.0, -1.0, 1152, 99719.0, 99778.0, 15129,
7, 1.0, 39054.0, 2000000, 1.0, 39173.0, 1015808, 127.0, 39427.0, 2031744, -1840.0, 38509.0, 2000000, -1656.0, -1.0, 16384, 334.0, 39592.0, 2000255,
8, 1.0, 26085.0, 4428288, 1.0, 26082.0, 18432, 1151.0, 26336.0, 12036, -1840.0, 24644.0, 4419936, -148.0, -1.0, 1152, 26591.0, 26606.0, 3844,
9, 1.0, 26085.0, 4428288, 1.0, 26337.0, 4718592, 1151.0, 26591.0, 992256, -1840.0, 26063.0, 4232082, -1840.0, 26210.0, 4718592, 1342.0, 26619.0, 984319,
10, 1.0, 44517.0, 8856576, 1.0, 44514.0, 36864, 2303.0, 44768.0, 12036, -1840.0, 44300.0, 8851262, -258.0, -1.0, 2304, 45023.0, 45038.0, 3844,
11, 1.0, 44517.0, 8856576, 1.0, 44514.0, 36864, 2303.0, 44768.0, 12036, -1840.0, 44300.0, 8851262, -258.0, -1.0, 2304, 45023.0, 45038.0, 3844,
