LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 508825.0, 753003, 1.0, 509798.0, 23532, 2.0, 509828.0, 753017, -1840.0, 499298.0, 750000, -37.0, -1.0, 3, 37442.0, 510215.0, 251032,
1, 1.0, 127431.0, 189003, 1.0, 127954.0, 189024, 2.0, 127984.0, 2142048, -1840.0, 125072.0, 187500, -37.0, -1.0, 96, 1172.0, 128201.0, 2016063,
2, 1.0, 3033383.0, 93352448, 1.0, 3033368.0, 2918048, 1567.0, 3033398.0, 178640, -1840.0, 3029709.0, 15230895, -184.0, -1.0, 1568, 940447.0, 3033562.0, 59567,
3, 1.0, 6066813.0, 186704896, 1.0, 6066829.0, 186755072, 1567.0, 6066859.0, 4048512, -1840.0, 6063649.0, 30464047, -1840.0, 6066393.0, 186755072, 30907.0, 6067275.0, 3810335,
4, 1.0, 3024821.0, 94889088, 1.0, 3025277.0, 94932992, 3135.0, 3025307.0, 1028800, -1840.0, 3023922.0, 31507702, -1840.0, 3025031.0, 94932992, 60699.0, 3025613.0, 968287,
5, 1.0, 5666810.0, 177635584, 1.0, 5666825.0, 177823744, 3135.0, 5666855.0, 1926016, -1840.0, 5662327.0, 33780373, -1840.0, 5666618.0, 177823744, 60699.0, 5667051.0, 1812639,
6, 1.0, 2805916.0, 88817792, 1.0, 2805900.0, 2778496, 6271.0, 2805930.0, 42513, -1840.0, 2803332.0, 18997512, -663.0, -1.0, 6272, 2805961.0, 2806403.0, 14161,
7, 1.0, 371586.0, 8000000, 1.0, 371609.0, 8011776, 127.0, 371639.0, 2125184, -1840.0, 370804.0, 8000000, -1656.0, -1.0, 16384, 3547.0, 371931.0, 2000031,
8, 1.0, 715695.0, 22579200, 1.0, 715680.0, 708736, 6271.0, 715710.0, 10832, -1840.0, 715574.0, 8208216, -663.0, -1.0, 6272, 715741.0, 715853.0, 3600,
9, 1.0, 5371173.0, 168792064, 1.0, 5371201.0, 170196992, 6271.0, 5371231.0, 915456, -1840.0, 5364083.0, 36113713, -1840.0, 5370705.0, 170196992, 120283.0, 5371647.0, 861215,
10, 1.0, 1336177.0, 42198016, 1.0, 1336174.0, 1329664, 12543.0, 1336204.0, 10148, -1840.0, 1323583.0, 11738775, -1288.0, -1.0, 12544, 1336235.0, 1336340.0, 3364,
11, 1.0, 1336177.0, 42198016, 1.0, 1336174.0, 1329664, 12543.0, 1336204.0, 10148, -1840.0, 1323583.0, 11738775, -1288.0, -1.0, 12544, 1336235.0, 1336340.0, 3364,
12, 1.0, 10462.0, 278784, 1.0, 11068.0, 8960, 255.0, 11098.0, 3329, -1840.0, 10301.0, 262144, -37.0, -1.0, 256, 11129.0, 11163.0, 1089,
13, 1.0, 162785.0, 4194304, 1.0, 162785.0, 4194304, 255.0, 162815.0, 557056, -1840.0, 162099.0, 4194304, -1840.0, 142543.0, 145184, 5979.0, 163071.0, 524319,
14, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -1840.0, 18038.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
15, 1.0, 553241.0, 16959488, 1.0, 553238.0, 551936, 25087.0, 553268.0, 2084, -1840.0, 544335.0, 7870311, -1840.0, 534902.0, 551936, 553299.0, 553320.0, 676,
16, 1.0, 293857.0, 8388608, 1.0, 293857.0, 8388608, 511.0, 293887.0, 557056, -1840.0, 293263.0, 8388608, -1840.0, 275599.0, 292384, 10843.0, 294143.0, 524319,
17, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -1840.0, 18038.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
18, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -1840.0, 18038.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
19, 1.0, 293857.0, 8388608, 1.0, 293857.0, 8388608, 511.0, 293887.0, 557056, -1840.0, 293263.0, 8388608, -1840.0, 275599.0, 292384, 10843.0, 294143.0, 524319,
20, 1.0, 553241.0, 16959488, 1.0, 553238.0, 551936, 25087.0, 553268.0, 2084, -1840.0, 544335.0, 7870311, -1840.0, 534902.0, 551936, 553299.0, 553320.0, 676,
21, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -1840.0, 18038.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
22, 1.0, 553241.0, 16959488, 1.0, 553238.0, 551936, 25087.0, 553268.0, 2084, -1840.0, 544335.0, 7870311, -1840.0, 534902.0, 551936, 553299.0, 553320.0, 676,
23, 1.0, 293857.0, 8388608, 1.0, 293857.0, 8388608, 511.0, 293887.0, 557056, -1840.0, 293263.0, 8388608, -1840.0, 275599.0, 292384, 10843.0, 294143.0, 524319,
24, 1.0, 172406.0, 4917248, 1.0, 175988.0, 175616, 25087.0, 176018.0, 644, -1840.0, 161942.0, 4765342, -1840.0, 165972.0, 175616, 176049.0, 176055.0, 196,
25, 1.0, 146913.0, 4194304, 1.0, 146913.0, 4194304, 511.0, 146943.0, 278528, -1840.0, 146289.0, 4194304, -1840.0, 142431.0, 586784, 10843.0, 147071.0, 262175,
26, 1.0, 93248.0, 1806336, 1.0, 100414.0, 100352, 50175.0, 100444.0, 164, -1840.0, 89910.0, 1664456, -1840.0, 92062.0, 100352, 100475.0, 100476.0, 36,
27, 1.0, 200893.0, 5017600, 1.0, 200890.0, 200704, 50175.0, 200920.0, 356, -1840.0, 194726.0, 4903636, -1840.0, 184186.0, 200704, 200951.0, 200954.0, 100,
28, 1.0, 50176.0, 200704, 1.0, 50176.0, 50176, 50203.0, 50206.0, 68, -1840.0, 44994.0, 116606, -1840.0, 36800.0, 50176, 50237.0, 50237.0, 4,
