LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 251094, 0, 0.29286024046273507, 0.29296875, 0.29282292243236463,
1, 63094, 0, 9.361181332614828, 9.375, 9.356435937648513,
2, 554381, 0, 3.120236804652396, 3.125, 3.1186616690194553,
3, 1108763, 0, 99.84748769574742, 100.0, 99.79717340862257,
4, 565883, 0, 99.40217324075824, 100.0, 99.20634920634922,
5, 1096055, 0, 99.38260397516548, 100.0, 99.18054280844369,
6, 548027, 0, 3.1057092077580117, 3.125, 3.0993919627638653,
7, 251503, 0, 99.40239281439983, 100.0, 99.20634920634922,
8, 141767, 0, 3.050427814653622, 3.125, 3.0265810027714792,
9, 1134143, 0, 97.61308759124731, 100.0, 96.85059208868734,
10, 283535, 0, 3.0504170560953674, 3.125, 3.0265810027714792,
11, 283535, 0, 3.0504170560953674, 3.125, 3.0265810027714792,
12, 9463, 0, 2.8769946105886084, 3.125, 2.8032331136738056,
13, 143103, 0, 91.59276884481807, 100.0, 89.12097476066144,
14, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
15, 143135, 0, 2.8294966290564854, 3.125, 2.7439024390243905,
16, 286207, 0, 91.59244882200645, 100.0, 89.12097476066144,
17, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
18, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
19, 286207, 0, 91.59244882200645, 100.0, 89.12097476066144,
20, 143135, 0, 2.8294966290564854, 3.125, 2.7439024390243905,
21, 17887, 0, 2.862414043718902, 3.125, 2.78503046127067,
22, 143135, 0, 2.8294966290564854, 3.125, 2.7439024390243905,
23, 286207, 0, 91.59244882200645, 100.0, 89.12097476066144,
24, 50399, 0, 2.285759638088057, 3.125, 2.099737532808399,
25, 179199, 0, 73.14326530840016, 100.0, 67.19160104986877,
26, 45503, 0, 1.265850603256928, 3.125, 1.0582010582010581,
27, 83519, 0, 2.1120942540020833, 3.125, 1.9080996884735202,
28, 31679, 0, 0.45455980302408533, 3.125, 0.3546099290780142,
