LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 509859, 0, 0.14422702986266792, 3.1249128513832227, 0.14422674698691798,
1, 127984, 0, 4.6149079181772725, 99.9888902996445, 4.614871859983592,
2, 1630903, 0, 2.8988925153733853, 3.1235547700845667, 2.8988907378975095,
3, 3261807, 0, 92.76453205232559, 99.95375264270614, 92.7645036127203,
4, 1598843, 0, 96.16954260049299, 99.8960498960499, 96.16948245107089,
5, 3044783, 0, 96.17105718207176, 99.89765283842796, 96.1710255965612,
6, 1493995, 0, 3.062468415222273, 3.1218016512008737, 3.062466365371795,
7, 371639, 0, 67.26958150247955, 99.8530163599182, 67.26940049510279,
8, 381653, 0, 3.0467794043280154, 3.1058026175213675, 3.046771421234941,
9, 2948847, 0, 97.66529087470458, 99.5575221238938, 97.66525775489276,
10, 730205, 0, 3.0813264768113062, 3.1111725663716814, 3.0813222570069265,
11, 730205, 0, 3.0813264768113062, 3.1111725663716814, 3.0813222570069265,
12, 11129, 0, 2.44631143858388, 3.0385044642857144, 2.4460916442048517,
13, 162815, 0, 80.50363909959157, 100.0, 80.50314465408806,
14, 18367, 0, 2.787608210377307, 3.125, 2.7874564459930316,
15, 321549, 0, 3.0477469996796756, 3.0625, 3.047737521380812,
16, 293887, 0, 89.19890978505344, 100.0, 89.19860627177701,
17, 18367, 0, 2.787608210377307, 3.125, 2.7874564459930316,
18, 18367, 0, 2.787608210377307, 3.125, 2.7874564459930316,
19, 293887, 0, 89.19890978505344, 100.0, 89.19860627177701,
20, 321549, 0, 3.0477469996796756, 3.0625, 3.047737521380812,
21, 18367, 0, 2.787608210377307, 3.125, 2.7874564459930316,
22, 321549, 0, 3.0477469996796756, 3.0625, 3.047737521380812,
23, 293887, 0, 89.19890978505344, 100.0, 89.19860627177701,
24, 102895, 0, 2.73336896836581, 2.74658203125, 2.7333424039807186,
25, 146943, 0, 89.19921330039539, 100.0, 89.19860627177701,
26, 51323, 0, 2.386844104982172, 2.392578125, 2.386797599563557,
27, 128309, 0, 2.8057268001465214, 2.8125, 2.805704933364508,
28, 25661, 0, 0.8768169595884806, 0.87890625, 0.8767827916764087,
