LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 508825.0, 753003, 1.0, 509798.0, 23532, 2.0, 509828.0, 753017, -3685.0, 499995.0, 750000, -74.0, -1.0, 3, 74882.0, 510791.0, 251032,
1, 1.0, 127431.0, 189003, 1.0, 127954.0, 189024, 2.0, 127984.0, 2142048, -3685.0, 125221.0, 187500, -74.0, -1.0, 96, 2342.0, 128777.0, 2016063,
2, 1.0, 1630845.0, 48412800, 1.0, 1630842.0, 1513600, 799.0, 1630872.0, 181604, -3685.0, 1628981.0, 9956916, -148.0, -1.0, 800, 993823.0, 1631643.0, 60547,
3, 1.0, 3261749.0, 96825600, 1.0, 3261777.0, 96870400, 799.0, 3261807.0, 4115200, -3685.0, 3259022.0, 19911543, -3685.0, 1631272.0, 62450, 31831.0, 3261879.0, 3873055,
4, 1.0, 1598476.0, 49203200, 1.0, 1598813.0, 49254400, 1599.0, 1598843.0, 1045632, -3685.0, 1596286.0, 22089920, -3685.0, 1598085.0, 49254400, 61431.0, 1599643.0, 984095,
5, 1.0, 3044738.0, 93702400, 1.0, 3044753.0, 93798400, 1599.0, 3044783.0, 1991296, -3685.0, 3044095.0, 19275231, -3685.0, 3044265.0, 93798400, 61431.0, 3045747.0, 1874079,
6, 1.0, 1493950.0, 46851200, 1.0, 1493934.0, 1465600, 3199.0, 1493964.0, 43953, -3685.0, 1488193.0, 10937343, -369.0, -1.0, 3200, 1493995.0, 1494452.0, 14641,
7, 1.0, 371586.0, 8000000, 1.0, 371609.0, 8011776, 127.0, 371639.0, 2125184, -3685.0, 371329.0, 8000000, -1696.0, -1.0, 16384, 6967.0, 371931.0, 2000031,
8, 1.0, 381600.0, 11907200, 1.0, 381592.0, 374400, 3199.0, 381622.0, 11209, -3685.0, 379004.0, 5354290, -369.0, -1.0, 3200, 381653.0, 381769.0, 3721,
9, 1.0, 2948801.0, 92160000, 1.0, 2948817.0, 92569600, 3199.0, 2948847.0, 979456, -3685.0, 2948260.0, 20638446, -3685.0, 2948727.0, 92569600, 120631.0, 2949999.0, 921631,
10, 1.0, 730159.0, 23040000, 1.0, 730144.0, 723200, 6399.0, 730174.0, 10832, -3685.0, 723767.0, 6216377, -664.0, -1.0, 6400, 730205.0, 730317.0, 3600,
11, 1.0, 730159.0, 23040000, 1.0, 730144.0, 723200, 6399.0, 730174.0, 10832, -3685.0, 723767.0, 6216377, -664.0, -1.0, 6400, 730205.0, 730317.0, 3600,
12, 1.0, 10462.0, 278784, 1.0, 11068.0, 8960, 255.0, 11098.0, 3329, -3685.0, 10312.0, 262144, -74.0, -1.0, 256, 11129.0, 11163.0, 1089,
13, 1.0, 162785.0, 4194304, 1.0, 162785.0, 4194304, 255.0, 162815.0, 557056, -3685.0, 161639.0, 4194304, -3685.0, 122256.0, 143318, 11703.0, 163071.0, 524319,
14, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -3685.0, 18060.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
15, 1.0, 321503.0, 10035200, 1.0, 321488.0, 320000, 12799.0, 321518.0, 2384, -3685.0, 319344.0, 2699874, -1327.0, -1.0, 12800, 321549.0, 321573.0, 784,
16, 1.0, 293857.0, 8388608, 1.0, 293857.0, 8388608, 511.0, 293887.0, 557056, -3685.0, 293041.0, 8388608, -3685.0, 257296.0, 290718, 21175.0, 294143.0, 524319,
17, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -3685.0, 18060.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
18, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -3685.0, 18060.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
19, 1.0, 293857.0, 8388608, 1.0, 293857.0, 8388608, 511.0, 293887.0, 557056, -3685.0, 293041.0, 8388608, -3685.0, 257296.0, 290718, 21175.0, 294143.0, 524319,
20, 1.0, 321503.0, 10035200, 1.0, 321488.0, 320000, 12799.0, 321518.0, 2384, -3685.0, 319344.0, 2699874, -1327.0, -1.0, 12800, 321549.0, 321573.0, 784,
21, 1.0, 18337.0, 524288, 1.0, 18306.0, 16384, 511.0, 18336.0, 3072, -3685.0, 18060.0, 524288, -74.0, -1.0, 512, 18367.0, 18398.0, 1024,
22, 1.0, 321503.0, 10035200, 1.0, 321488.0, 320000, 12799.0, 321518.0, 2384, -3685.0, 319344.0, 2699874, -1327.0, -1.0, 12800, 321549.0, 321573.0, 784,
23, 1.0, 293857.0, 8388608, 1.0, 293857.0, 8388608, 511.0, 293887.0, 557056, -3685.0, 293041.0, 8388608, -3685.0, 257296.0, 290718, 21175.0, 294143.0, 524319,
24, 1.0, 99762.0, 2880000, 1.0, 102834.0, 102400, 12799.0, 102864.0, 737, -3685.0, 87453.0, 1277397, -1327.0, -1.0, 12800, 102895.0, 102902.0, 225,
25, 1.0, 146913.0, 4194304, 1.0, 146913.0, 4194304, 511.0, 146943.0, 278528, -3685.0, 145891.0, 4194304, -3685.0, 137904.0, 585518, 21175.0, 147071.0, 262175,
26, 1.0, 51270.0, 1254400, 1.0, 51262.0, 51200, 25599.0, 51292.0, 177, -3685.0, 48143.0, 1126078, -2580.0, -1.0, 25600, 51323.0, 51324.0, 49,
27, 1.0, 128263.0, 3686400, 1.0, 128248.0, 128000, 25599.0, 128278.0, 464, -3685.0, 123322.0, 2014092, -2580.0, -1.0, 25600, 128309.0, 128313.0, 144,
28, 1.0, 25604.0, 230400, 1.0, 25600.0, 25600, 25622.0, 25630.0, 73, -3685.0, 17335.0, 145595, -2580.0, -1.0, 25600, 25661.0, 25661.0, 9,
