LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 250533.0, 753003, 30.0, 32.0, 3, 63.0, 251063.0, 251001, -3653.0, 246191.0, 750000, -74.0, -1.0, 3, 36927.0, 252026.0, 251032,
1, 33.0, 62783.0, 189003, 30.0, 32.0, 96, 63.0, 63094.0, 2016032, -3653.0, 61695.0, 187500, -74.0, -1.0, 96, 1230.0, 63887.0, 2016063,
2, 33.0, 1515219.0, 48412800, 1.0, 1454672.0, 800, 63.0, 1515218.0, 1512900, -3653.0, 1514306.0, 48412800, -148.0, -1.0, 800, 36927.0, 1515296.0, 1512931,
3, 33.0, 3030469.0, 96825600, 1.0, 2969922.0, 51200, 63.0, 3030499.0, 96825600, -3653.0, 3029809.0, 96825600, -3685.0, 2121382.0, 51200, 1230.0, 3031147.0, 96825631,
4, 33.0, 1546844.0, 49203200, 1.0, 1531562.0, 102400, 63.0, 1546999.0, 49203200, -3653.0, 1545755.0, 49044608, -3685.0, 1098402.0, 102400, 1230.0, 1547831.0, 49203231,
5, 33.0, 2946969.0, 93702400, 1.0, 2932297.0, 204800, 63.0, 2946999.0, 93702400, -3653.0, 2946026.0, 93702400, -3685.0, 2637595.0, 204800, 1230.0, 2947967.0, 93702431,
6, 33.0, 1473469.0, 46851200, 1.0, 1458797.0, 3200, 63.0, 1473468.0, 1464100, -3653.0, 1472990.0, 46851200, -369.0, -1.0, 3200, 37115.0, 1474325.0, 1464131,
7, 33.0, 251473.0, 8000000, 1.0, 235817.0, 16384, 63.0, 251503.0, 8000000, -3653.0, 251347.0, 8000000, -1696.0, -1.0, 16384, 1230.0, 251519.0, 8000031,
8, 33.0, 381469.0, 11907200, 1.0, 377717.0, 3200, 63.0, 381468.0, 372100, -3653.0, 381309.0, 11907200, -369.0, -1.0, 3200, 37773.0, 381608.0, 372131,
9, 33.0, 2955169.0, 92160000, 1.0, 2951538.0, 819200, 63.0, 2955199.0, 92160000, -3653.0, 2954060.0, 92160000, -3685.0, 2921977.0, 819200, 1230.0, 2956351.0, 92160031,
10, 33.0, 738769.0, 23040000, 1.0, 735138.0, 6400, 63.0, 738768.0, 720000, -3653.0, 738481.0, 23040000, -664.0, -1.0, 6400, 37867.0, 739411.0, 720031,
11, 33.0, 738769.0, 23040000, 1.0, 735138.0, 6400, 63.0, 738768.0, 720000, -3653.0, 738481.0, 23040000, -664.0, -1.0, 6400, 37867.0, 739411.0, 720031,
12, 33.0, 9399.0, 278784, 1.0, 8313.0, 256, 63.0, 9432.0, 8712, -3653.0, 9249.0, 262144, -74.0, -1.0, 256, 9463.0, 9735.0, 8712,
13, 33.0, 143073.0, 4194304, 1.0, 142018.0, 131072, 63.0, 143103.0, 4194304, -3653.0, 142113.0, 4194304, -3685.0, 119657.0, 131072, 1324.0, 143999.0, 4194335,
14, 33.0, 17857.0, 524288, 1.0, 16802.0, 512, 63.0, 17856.0, 16384, -3653.0, 17580.0, 524288, -74.0, -1.0, 512, 17887.0, 18398.0, 16384,
15, 33.0, 351169.0, 10035200, 1.0, 350354.0, 12800, 63.0, 351168.0, 313600, -3653.0, 350779.0, 10035200, -1327.0, -1.0, 12800, 41345.0, 351783.0, 313631,
16, 33.0, 286177.0, 8388608, 1.0, 285122.0, 262144, 63.0, 286207.0, 8388608, -3653.0, 285423.0, 8388608, -3685.0, 280647.0, 262144, 1324.0, 286847.0, 8388639,
17, 33.0, 17857.0, 524288, 1.0, 16802.0, 512, 63.0, 17856.0, 16384, -3653.0, 17580.0, 524288, -74.0, -1.0, 512, 17887.0, 18398.0, 16384,
18, 33.0, 17857.0, 524288, 1.0, 16802.0, 512, 63.0, 17856.0, 16384, -3653.0, 17580.0, 524288, -74.0, -1.0, 512, 17887.0, 18398.0, 16384,
19, 33.0, 286177.0, 8388608, 1.0, 285122.0, 262144, 63.0, 286207.0, 8388608, -3653.0, 285423.0, 8388608, -3685.0, 280647.0, 262144, 1324.0, 286847.0, 8388639,
20, 33.0, 351169.0, 10035200, 1.0, 350354.0, 12800, 63.0, 351168.0, 313600, -3653.0, 350779.0, 10035200, -1327.0, -1.0, 12800, 41345.0, 351783.0, 313631,
21, 33.0, 17857.0, 524288, 1.0, 16802.0, 512, 63.0, 17856.0, 16384, -3653.0, 17580.0, 524288, -74.0, -1.0, 512, 17887.0, 18398.0, 16384,
22, 33.0, 351169.0, 10035200, 1.0, 350354.0, 12800, 63.0, 351168.0, 313600, -3653.0, 350779.0, 10035200, -1327.0, -1.0, 12800, 41345.0, 351783.0, 313631,
23, 33.0, 286177.0, 8388608, 1.0, 285122.0, 262144, 63.0, 286207.0, 8388608, -3653.0, 285423.0, 8388608, -3685.0, 280647.0, 262144, 1324.0, 286847.0, 8388639,
24, 33.0, 127553.0, 2880000, 1.0, 127313.0, 12800, 63.0, 127568.0, 90000, -3653.0, 127434.0, 2803712, -1327.0, -1.0, 12800, 52249.0, 128108.0, 90031,
25, 33.0, 179169.0, 4194304, 1.0, 178882.0, 524288, 63.0, 179199.0, 4194304, -3653.0, 177927.0, 4194304, -3685.0, 176076.0, 524288, 1606.0, 180095.0, 4194335,
26, 33.0, 114361.0, 1254400, 1.0, 114289.0, 25600, 63.0, 114368.0, 39200, -3653.0, 113872.0, 1183744, -2580.0, -1.0, 25600, 107615.0, 114472.0, 39231,
27, 33.0, 190369.0, 3686400, 1.0, 190194.0, 25600, 63.0, 190368.0, 115200, -3653.0, 190310.0, 3686400, -2580.0, -1.0, 25600, 60991.0, 190543.0, 115231,
28, 33.0, 82365.0, 230400, 1.0, 82329.0, 25600, 63.0, 82368.0, 7200, -3653.0, 55778.0, 145596, -2580.0, -1.0, 25600, 82399.0, 82623.0, 7200,
