LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 102.0, 40286.0, 338688, 129.0, 40344.0, 84672, 255.0, 40571.0, 401408, -1739.0, 36543.0, 162560, -111.0, -1.0, 864, 1990.0, 40683.0, 401535,
1, 1.0, 108900.0, 3484800, 129.0, 108932.0, 27360, 255.0, 109094.0, 36300, -1840.0, 106107.0, 584512, -37.0, -1.0, 288, 55407.0, 109294.0, 36427,
2, 97.0, 43390.0, 401408, 129.0, 43485.0, 200704, 255.0, 43707.0, 802816, -1744.0, 42031.0, 401408, -221.0, -1.0, 2048, 1210.0, 43787.0, 802943,
3, 1.0, 47620.0, 1806336, 129.0, 47684.0, 14400, 255.0, 47810.0, 15680, -1840.0, 46815.0, 1346753, -74.0, -1.0, 576, 47874.0, 47996.0, 15680,
4, 65.0, 12368.0, 200704, 129.0, 12559.0, 204800, 255.0, 12685.0, 401408, -1776.0, 11314.0, 200704, -847.0, -1.0, 8192, 828.0, 12861.0, 401535,
5, 1.0, 79026.0, 3359232, 129.0, 79154.0, 26496, 255.0, 79252.0, 26244, -1840.0, 78228.0, 1245920, -148.0, -1.0, 1152, 55407.0, 79342.0, 26371,
6, 1.0, 12368.0, 401408, 129.0, 12623.0, 409600, 255.0, 12685.0, 401408, -1840.0, 11805.0, 401408, -1656.0, -1.0, 16384, 828.0, 12861.0, 401535,
7, 1.0, 22725.0, 903168, 129.0, 24002.0, 8064, 255.0, 24016.0, 7056, -1840.0, 20412.0, 874500, -148.0, -1.0, 1152, 24128.0, 24183.0, 7056,
8, 1.0, 3956.0, 100352, 129.0, 4339.0, 229376, 255.0, 4353.0, 200704, -1840.0, 3269.0, 100352, -1712.0, 4209.0, 229376, 462.0, 4593.0, 200831,
9, 1.0, 41109.0, 1557504, 129.0, 41237.0, 13824, 255.0, 41271.0, 12168, -1840.0, 37558.0, 1507248, -258.0, -1.0, 2304, 41363.0, 41458.0, 12168,
10, 1.0, 8422.0, 200704, 129.0, 8805.0, 458752, 255.0, 8819.0, 401408, -1840.0, 7048.0, 200704, -1712.0, 8608.0, 458752, 462.0, 9043.0, 401535,
11, 1.0, 13533.0, 451584, 129.0, 13661.0, 4608, 255.0, 13727.0, 3528, -1840.0, 13136.0, 430336, -258.0, -1.0, 2304, 13787.0, 13814.0, 3528,
12, 1.0, 2810.0, 50176, 129.0, 3449.0, 262144, 255.0, 3515.0, 200704, -1840.0, 1848.0, 50176, -1712.0, 3355.0, 262144, 462.0, 3703.0, 200831,
13, 1.0, 27321.0, 663552, 129.0, 27449.0, 9216, 255.0, 27463.0, 5184, -1840.0, 22995.0, 617410, -479.0, -1.0, 4608, 27575.0, 27615.0, 5184,
14, 1.0, 6386.0, 100352, 129.0, 7025.0, 524288, 255.0, 7091.0, 401408, -1840.0, 6264.0, 100352, -1712.0, 6891.0, 524288, 462.0, 7263.0, 401535,
15, 1.0, 27321.0, 663552, 129.0, 27449.0, 9216, 255.0, 27463.0, 5184, -1840.0, 22995.0, 617410, -479.0, -1.0, 4608, 27575.0, 27615.0, 5184,
16, 1.0, 6386.0, 100352, 129.0, 7025.0, 524288, 255.0, 7091.0, 401408, -1840.0, 6264.0, 100352, -1712.0, 6891.0, 524288, 462.0, 7263.0, 401535,
17, 1.0, 27321.0, 663552, 129.0, 27449.0, 9216, 255.0, 27463.0, 5184, -1840.0, 22995.0, 617410, -479.0, -1.0, 4608, 27575.0, 27615.0, 5184,
18, 1.0, 6386.0, 100352, 129.0, 7025.0, 524288, 255.0, 7091.0, 401408, -1840.0, 6264.0, 100352, -1712.0, 6891.0, 524288, 462.0, 7263.0, 401535,
19, 1.0, 27321.0, 663552, 129.0, 27449.0, 9216, 255.0, 27463.0, 5184, -1840.0, 22995.0, 617410, -479.0, -1.0, 4608, 27575.0, 27615.0, 5184,
