LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 12592.0, 338688, 6.0, 32.0, 864, 63.0, 12637.0, 401408, -888.0, 12239.0, 160558, -92.0, -1.0, 864, 366.0, 12797.0, 401439,
1, 33.0, 109715.0, 3484800, 1.0, 97584.0, 288, 63.0, 109714.0, 108900, -888.0, 109475.0, 3484800, -37.0, -1.0, 288, 9279.0, 109981.0, 108931,
2, 33.0, 25245.0, 802816, 1.0, 12670.0, 2048, 63.0, 25275.0, 802816, -888.0, 25154.0, 802816, -221.0, -1.0, 2048, 366.0, 25307.0, 802847,
3, 33.0, 58052.0, 1806336, 1.0, 54942.0, 576, 63.0, 58108.0, 56448, -888.0, 58039.0, 1784896, -74.0, -1.0, 576, 9467.0, 58175.0, 56479,
4, 33.0, 25809.0, 802816, 1.0, 22642.0, 8192, 63.0, 25839.0, 802816, -888.0, 25718.0, 802816, -828.0, -1.0, 8192, 366.0, 25871.0, 802847,
5, 33.0, 108329.0, 3359232, 1.0, 105382.0, 1152, 63.0, 108328.0, 104976, -888.0, 108275.0, 3359232, -129.0, -1.0, 1152, 9561.0, 108472.0, 105007,
6, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -888.0, 51483.0, 1605632, -920.0, 25872.0, 16384, 366.0, 51743.0, 1605663,
7, 33.0, 31548.0, 903168, 1.0, 30762.0, 1152, 63.0, 31576.0, 28224, -888.0, 31281.0, 881792, -129.0, -1.0, 1152, 10313.0, 31625.0, 28255,
8, 33.0, 28065.0, 802816, 1.0, 27250.0, 32768, 63.0, 28095.0, 802816, -888.0, 27974.0, 802816, -920.0, 22859.0, 32768, 366.0, 28127.0, 802847,
9, 33.0, 55409.0, 1557504, 1.0, 54702.0, 2304, 63.0, 55408.0, 48672, -888.0, 55309.0, 1557504, -240.0, -1.0, 2304, 10501.0, 55520.0, 48703,
10, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -888.0, 55995.0, 1605632, -920.0, 54465.0, 65536, 366.0, 56255.0, 1605663,
11, 33.0, 20834.0, 451584, 1.0, 20622.0, 2304, 63.0, 20848.0, 14112, -888.0, 20471.0, 430336, -240.0, -1.0, 2304, 13697.0, 21032.0, 14143,
12, 33.0, 37089.0, 802816, 1.0, 36862.0, 131072, 63.0, 37119.0, 802816, -888.0, 36998.0, 802816, -920.0, 36275.0, 131072, 460.0, 37151.0, 802847,
13, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -888.0, 34190.0, 663552, -479.0, -1.0, 4608, 15295.0, 34343.0, 20767,
14, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -888.0, 74043.0, 1605632, -920.0, 72808.0, 262144, 460.0, 74303.0, 1605663,
15, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -888.0, 34190.0, 663552, -479.0, -1.0, 4608, 15295.0, 34343.0, 20767,
16, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -888.0, 74043.0, 1605632, -920.0, 72808.0, 262144, 460.0, 74303.0, 1605663,
17, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -888.0, 34190.0, 663552, -479.0, -1.0, 4608, 15295.0, 34343.0, 20767,
18, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -888.0, 74043.0, 1605632, -920.0, 72808.0, 262144, 460.0, 74303.0, 1605663,
19, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -888.0, 34190.0, 663552, -479.0, -1.0, 4608, 15295.0, 34343.0, 20767,
20, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -888.0, 74043.0, 1605632, -920.0, 72808.0, 262144, 460.0, 74303.0, 1605663,
21, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -888.0, 34190.0, 663552, -479.0, -1.0, 4608, 15295.0, 34343.0, 20767,
22, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -888.0, 74043.0, 1605632, -920.0, 72808.0, 262144, 460.0, 74303.0, 1605663,
23, 33.0, 20553.0, 225792, 1.0, 20481.0, 4608, 63.0, 20560.0, 7056, -888.0, 20253.0, 204800, -479.0, -1.0, 4608, 20591.0, 20811.0, 7056,
24, 33.0, 73185.0, 802816, 1.0, 73105.0, 524288, 63.0, 73215.0, 802816, -888.0, 73000.0, 802816, -920.0, 71933.0, 524288, 838.0, 73247.0, 802847,
25, 33.0, 29633.0, 82944, 1.0, 29593.0, 9216, 63.0, 29632.0, 2592, -888.0, 29613.0, 82944, -920.0, 29577.0, 9216, 29663.0, 29743.0, 2592,
26, 33.0, 146401.0, 1605632, 1.0, 146321.0, 1048576, 63.0, 146431.0, 1605632, -888.0, 145957.0, 1605632, -920.0, 145153.0, 1048576, 838.0, 146495.0, 1605663,
