LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 29915.0, 338688, 1.0, 29893.0, 169344, 26.0, 29955.0, 426496, -1840.0, 28338.0, 155372, -111.0, -1.0, 864, 1403.0, 30211.0, 401471,
1, 1.0, 78537.0, 3484800, 1.0, 78534.0, 54720, 287.0, 78596.0, 36420, -1840.0, 76823.0, 583968, -37.0, -1.0, 288, 78659.0, 78848.0, 12100,
2, 1.0, 30905.0, 401408, 1.0, 30905.0, 401408, 31.0, 30967.0, 827904, -1840.0, 29763.0, 401408, -221.0, -1.0, 2048, 726.0, 31127.0, 802879,
3, 1.0, 34278.0, 1806336, 1.0, 34272.0, 28224, 575.0, 34334.0, 9408, -1840.0, 33428.0, 900649, -74.0, -1.0, 576, 34397.0, 34445.0, 3136,
4, 1.0, 18557.0, 401408, 1.0, 18557.0, 401408, 63.0, 18619.0, 413952, -1840.0, 17912.0, 401408, -847.0, -1.0, 8192, 886.0, 18843.0, 401471,
5, 1.0, 58697.0, 3359232, 1.0, 58662.0, 52992, 1151.0, 58724.0, 8804, -1840.0, 57087.0, 846049, -148.0, -1.0, 1152, 58787.0, 58832.0, 2916,
6, 1.0, 24829.0, 802816, 1.0, 24829.0, 802816, 127.0, 24891.0, 413952, -1840.0, 24490.0, 802816, -1656.0, -1.0, 16384, 1206.0, 25115.0, 401471,
7, 1.0, 16118.0, 903168, 1.0, 16488.0, 14976, 1151.0, 16550.0, 2448, -1840.0, 14891.0, 661303, -148.0, -1.0, 1152, 16613.0, 16625.0, 784,
8, 1.0, 13097.0, 401408, 1.0, 13145.0, 425984, 127.0, 13207.0, 207360, -1840.0, 12531.0, 401408, -1840.0, 6667.0, 34784, 1206.0, 13463.0, 200767,
9, 1.0, 26639.0, 1557504, 1.0, 26604.0, 25344, 2303.0, 26666.0, 2084, -1840.0, 25170.0, 569214, -258.0, -1.0, 2304, 26729.0, 26739.0, 676,
10, 1.0, 19753.0, 802816, 1.0, 19801.0, 851968, 255.0, 19863.0, 207360, -1840.0, 19270.0, 802816, -1840.0, 14961.0, 71584, 1846.0, 20119.0, 200767,
11, 1.0, 8828.0, 451584, 1.0, 9594.0, 9216, 2303.0, 9656.0, 708, -1840.0, 8267.0, 425039, -258.0, -1.0, 2304, 9719.0, 9722.0, 196,
12, 1.0, 12101.0, 401408, 1.0, 12161.0, 524288, 255.0, 12223.0, 104448, -1840.0, 11529.0, 401408, -1840.0, 10759.0, 145184, 2224.0, 12351.0, 100415,
13, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -1840.0, 12618.0, 617288, -479.0, -1.0, 4608, 14201.0, 14203.0, 144,
14, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -1840.0, 19534.0, 802816, -1840.0, 20038.0, 1048576, 3760.0, 20543.0, 100415,
15, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -1840.0, 12618.0, 617288, -479.0, -1.0, 4608, 14201.0, 14203.0, 144,
16, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -1840.0, 19534.0, 802816, -1840.0, 20038.0, 1048576, 3760.0, 20543.0, 100415,
17, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -1840.0, 12618.0, 617288, -479.0, -1.0, 4608, 14201.0, 14203.0, 144,
18, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -1840.0, 19534.0, 802816, -1840.0, 20038.0, 1048576, 3760.0, 20543.0, 100415,
19, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -1840.0, 12618.0, 617288, -479.0, -1.0, 4608, 14201.0, 14203.0, 144,
