LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 6.0, 49298.0, 338688, 33.0, 49356.0, 338688, 63.0, 49391.0, 401408, -3680.0, 47384.0, 153544, -148.0, -1.0, 864, 4599.0, 50415.0, 401439,
1, 1.0, 323982.0, 3484800, 33.0, 324014.0, 109152, 63.0, 324016.0, 108900, -3685.0, 322065.0, 483707, -74.0, -1.0, 288, 109503.0, 325144.0, 108931,
2, 1.0, 61810.0, 401408, 33.0, 61905.0, 802816, 63.0, 61935.0, 802816, -3685.0, 56750.0, 401408, -222.0, -1.0, 2048, 2907.0, 62831.0, 802847,
3, 1.0, 166947.0, 1806336, 33.0, 167549.0, 56448, 63.0, 167579.0, 56448, -3685.0, 163619.0, 900784, -74.0, -1.0, 576, 109503.0, 168191.0, 56479,
4, 1.0, 43322.0, 200704, 33.0, 43481.0, 802816, 63.0, 43511.0, 802816, -3685.0, 39768.0, 200704, -885.0, -1.0, 8192, 2061.0, 44407.0, 802847,
5, 1.0, 314577.0, 3359232, 33.0, 314609.0, 105984, 63.0, 314611.0, 104976, -3685.0, 306757.0, 569612, -148.0, -1.0, 1152, 109503.0, 315616.0, 105007,
6, 1.0, 86834.0, 401408, 33.0, 86993.0, 1605632, 63.0, 87023.0, 1605632, -3685.0, 79726.0, 401408, -1696.0, -1.0, 16384, 2061.0, 87663.0, 1605663,
7, 1.0, 84297.0, 903168, 33.0, 85469.0, 28800, 63.0, 85483.0, 28224, -3685.0, 81445.0, 451040, -148.0, -1.0, 1152, 85499.0, 86380.0, 28224,
8, 1.0, 34682.0, 100352, 33.0, 34969.0, 819200, 63.0, 34983.0, 802816, -3685.0, 24882.0, 100352, -3317.0, -1.0, 32768, 1606.0, 35895.0, 802847,
9, 1.0, 150417.0, 1557504, 33.0, 150449.0, 50688, 63.0, 150451.0, 48672, -3685.0, 141677.0, 269470, -295.0, -1.0, 2304, 109503.0, 150848.0, 48703,
10, 1.0, 69682.0, 200704, 33.0, 69969.0, 1638400, 63.0, 69983.0, 1605632, -3685.0, 62680.0, 200704, -3653.0, 69235.0, 1638400, 1606.0, 70639.0, 1605663,
